Train on 370515 samples, validate on 123506 samples
Epoch 1/1
228320/370515 [=================>............] - ETA: 15s - loss: 0.7477
228928/370515 [=================>............] - ETA: 15s - loss: 0.7460
229568/370515 [=================>............] - ETA: 15s - loss: 0.7449
229984/370515 [=================>............] - ETA: 15s - loss: 0.7437
230496/370515 [=================>............] - ETA: 15s - loss: 0.7427
231040/370515 [=================>............] - ETA: 15s - loss: 0.7415
231680/370515 [=================>............] - ETA: 15s - loss: 0.7402
232192/370515 [=================>............] - ETA: 15s - loss: 0.7388
232672/370515 [=================>............] - ETA: 15s - loss: 0.7372
233216/370515 [=================>............] - ETA: 15s - loss: 0.7359
233824/370515 [=================>............] - ETA: 15s - loss: 0.7344
234208/370515 [=================>............] - ETA: 15s - loss: 0.7337
234784/370515 [==================>...........] - ETA: 15s - loss: 0.7326
235392/370515 [==================>...........] - ETA: 14s - loss: 0.7311
236000/370515 [==================>...........] - ETA: 14s - loss: 0.7295
236352/370515 [==================>...........] - ETA: 14s - loss: 0.7287
236928/370515 [==================>...........] - ETA: 14s - loss: 0.7276
237536/370515 [==================>...........] - ETA: 14s - loss: 0.7264
238048/370515 [==================>...........] - ETA: 14s - loss: 0.7253
238400/370515 [==================>...........] - ETA: 14s - loss: 0.7248
238976/370515 [==================>...........] - ETA: 14s - loss: 0.7234
239616/370515 [==================>...........] - ETA: 14s - loss: 0.7221
240192/370515 [==================>...........] - ETA: 14s - loss: 0.7207
240544/370515 [==================>...........] - ETA: 14s - loss: 0.7201
241152/370515 [==================>...........] - ETA: 14s - loss: 0.7186
241760/370515 [==================>...........] - ETA: 14s - loss: 0.7174
242368/370515 [==================>...........] - ETA: 14s - loss: 0.7161
242752/370515 [==================>...........] - ETA: 14s - loss: 0.7153
243360/370515 [==================>...........] - ETA: 14s - loss: 0.7137
243904/370515 [==================>...........] - ETA: 13s - loss: 0.7124
244416/370515 [==================>...........] - ETA: 13s - loss: 0.7113
244960/370515 [==================>...........] - ETA: 13s - loss: 0.7101
245568/370515 [==================>...........] - ETA: 13s - loss: 0.7087
246208/370515 [==================>...........] - ETA: 13s - loss: 0.7073
246784/370515 [==================>...........] - ETA: 13s - loss: 0.7059
247232/370515 [===================>..........] - ETA: 13s - loss: 0.7048
247808/370515 [===================>..........] - ETA: 13s - loss: 0.7035
248320/370515 [===================>..........] - ETA: 13s - loss: 0.7025
248864/370515 [===================>..........] - ETA: 13s - loss: 0.7015
249280/370515 [===================>..........] - ETA: 13s - loss: 0.7007
249856/370515 [===================>..........] - ETA: 13s - loss: 0.6995
250432/370515 [===================>..........] - ETA: 13s - loss: 0.6985
251040/370515 [===================>..........] - ETA: 13s - loss: 0.6970
251392/370515 [===================>..........] - ETA: 13s - loss: 0.6962
252000/370515 [===================>..........] - ETA: 13s - loss: 0.6953
252608/370515 [===================>..........] - ETA: 12s - loss: 0.6944
253152/370515 [===================>..........] - ETA: 12s - loss: 0.6934
253536/370515 [===================>..........] - ETA: 12s - loss: 0.6927
254048/370515 [===================>..........] - ETA: 12s - loss: 0.6918
254688/370515 [===================>..........] - ETA: 12s - loss: 0.6906
255296/370515 [===================>..........] - ETA: 12s - loss: 0.6891
255616/370515 [===================>..........] - ETA: 12s - loss: 0.6884
256160/370515 [===================>..........] - ETA: 12s - loss: 0.6871
256768/370515 [===================>..........] - ETA: 12s - loss: 0.6859
257312/370515 [===================>..........] - ETA: 12s - loss: 0.6851
257696/370515 [===================>..........] - ETA: 12s - loss: 0.6844
258208/370515 [===================>..........] - ETA: 12s - loss: 0.6833
258752/370515 [===================>..........] - ETA: 12s - loss: 0.6824
259360/370515 [===================>..........] - ETA: 12s - loss: 0.6812
259744/370515 [====================>.........] - ETA: 12s - loss: 0.6807
260352/370515 [====================>.........] - ETA: 12s - loss: 0.6795
260992/370515 [====================>.........] - ETA: 11s - loss: 0.6782
261600/370515 [====================>.........] - ETA: 11s - loss: 0.6770
261952/370515 [====================>.........] - ETA: 11s - loss: 0.6764
262560/370515 [====================>.........] - ETA: 11s - loss: 0.6754
263200/370515 [====================>.........] - ETA: 11s - loss: 0.6743
263680/370515 [====================>.........] - ETA: 11s - loss: 0.6735
264064/370515 [====================>.........] - ETA: 11s - loss: 0.6727
264576/370515 [====================>.........] - ETA: 11s - loss: 0.6717
265152/370515 [====================>.........] - ETA: 11s - loss: 0.6705
265792/370515 [====================>.........] - ETA: 11s - loss: 0.6694
266144/370515 [====================>.........] - ETA: 11s - loss: 0.6689
266592/370515 [====================>.........] - ETA: 11s - loss: 0.6680
267168/370515 [====================>.........] - ETA: 11s - loss: 0.6672
267712/370515 [====================>.........] - ETA: 11s - loss: 0.6661
268320/370515 [====================>.........] - ETA: 11s - loss: 0.6651
268640/370515 [====================>.........] - ETA: 11s - loss: 0.6645
269088/370515 [====================>.........] - ETA: 11s - loss: 0.6640
269728/370515 [====================>.........] - ETA: 10s - loss: 0.6628
270336/370515 [====================>.........] - ETA: 10s - loss: 0.6617
270848/370515 [====================>.........] - ETA: 10s - loss: 0.6611
271456/370515 [====================>.........] - ETA: 10s - loss: 0.6601
272064/370515 [=====================>........] - ETA: 10s - loss: 0.6595
272672/370515 [=====================>........] - ETA: 10s - loss: 0.6588
273120/370515 [=====================>........] - ETA: 10s - loss: 0.6584
273568/370515 [=====================>........] - ETA: 10s - loss: 0.6578
274144/370515 [=====================>........] - ETA: 10s - loss: 0.6569
274752/370515 [=====================>........] - ETA: 10s - loss: 0.6560
275136/370515 [=====================>........] - ETA: 10s - loss: 0.6554
275712/370515 [=====================>........] - ETA: 10s - loss: 0.6544
276352/370515 [=====================>........] - ETA: 10s - loss: 0.6536
276960/370515 [=====================>........] - ETA: 10s - loss: 0.6527
277440/370515 [=====================>........] - ETA: 10s - loss: 0.6520
278016/370515 [=====================>........] - ETA: 10s - loss: 0.6513
278528/370515 [=====================>........] - ETA: 10s - loss: 0.6506
279008/370515 [=====================>........] - ETA: 9s - loss: 0.6500
279232/370515 [=====================>........] - ETA: 9s - loss: 0.6498
279488/370515 [=====================>........] - ETA: 9s - loss: 0.6497
279776/370515 [=====================>........] - ETA: 9s - loss: 0.6491
280032/370515 [=====================>........] - ETA: 9s - loss: 0.6485
280320/370515 [=====================>........] - ETA: 9s - loss: 0.6482
280736/370515 [=====================>........] - ETA: 9s - loss: 0.6476
281152/370515 [=====================>........] - ETA: 9s - loss: 0.6472
281728/370515 [=====================>........] - ETA: 9s - loss: 0.6468
282208/370515 [=====================>........] - ETA: 9s - loss: 0.6463
282624/370515 [=====================>........] - ETA: 9s - loss: 0.6457
283264/370515 [=====================>........] - ETA: 9s - loss: 0.6446
283840/370515 [=====================>........] - ETA: 9s - loss: 0.6441
284416/370515 [======================>.......] - ETA: 9s - loss: 0.6435
284896/370515 [======================>.......] - ETA: 9s - loss: 0.6427
285504/370515 [======================>.......] - ETA: 9s - loss: 0.6420
286144/370515 [======================>.......] - ETA: 9s - loss: 0.6410
286496/370515 [======================>.......] - ETA: 9s - loss: 0.6406
286816/370515 [======================>.......] - ETA: 9s - loss: 0.6406
287136/370515 [======================>.......] - ETA: 9s - loss: 0.6404
287648/370515 [======================>.......] - ETA: 9s - loss: 0.6396
288032/370515 [======================>.......] - ETA: 9s - loss: 0.6389
288448/370515 [======================>.......] - ETA: 8s - loss: 0.6383
288896/370515 [======================>.......] - ETA: 8s - loss: 0.6379
289312/370515 [======================>.......] - ETA: 8s - loss: 0.6371
289664/370515 [======================>.......] - ETA: 8s - loss: 0.6368
290048/370515 [======================>.......] - ETA: 8s - loss: 0.6361
290464/370515 [======================>.......] - ETA: 8s - loss: 0.6355
290880/370515 [======================>.......] - ETA: 8s - loss: 0.6348
291232/370515 [======================>.......] - ETA: 8s - loss: 0.6343
291680/370515 [======================>.......] - ETA: 8s - loss: 0.6337
292288/370515 [======================>.......] - ETA: 8s - loss: 0.6330
292864/370515 [======================>.......] - ETA: 8s - loss: 0.6322
293248/370515 [======================>.......] - ETA: 8s - loss: 0.6318
293792/370515 [======================>.......] - ETA: 8s - loss: 0.6310
294336/370515 [======================>.......] - ETA: 8s - loss: 0.6302
294944/370515 [======================>.......] - ETA: 8s - loss: 0.6295
295328/370515 [======================>.......] - ETA: 8s - loss: 0.6288
295744/370515 [======================>.......] - ETA: 8s - loss: 0.6285
296160/370515 [======================>.......] - ETA: 8s - loss: 0.6279
296576/370515 [=======================>......] - ETA: 8s - loss: 0.6274
296864/370515 [=======================>......] - ETA: 8s - loss: 0.6268
297312/370515 [=======================>......] - ETA: 8s - loss: 0.6263
297728/370515 [=======================>......] - ETA: 7s - loss: 0.6257
298080/370515 [=======================>......] - ETA: 7s - loss: 0.6255
298464/370515 [=======================>......] - ETA: 7s - loss: 0.6251
298976/370515 [=======================>......] - ETA: 7s - loss: 0.6243
299392/370515 [=======================>......] - ETA: 7s - loss: 0.6237
299840/370515 [=======================>......] - ETA: 7s - loss: 0.6230
300160/370515 [=======================>......] - ETA: 7s - loss: 0.6226
300544/370515 [=======================>......] - ETA: 7s - loss: 0.6221
300992/370515 [=======================>......] - ETA: 7s - loss: 0.6215
301408/370515 [=======================>......] - ETA: 7s - loss: 0.6208
301728/370515 [=======================>......] - ETA: 7s - loss: 0.6204
302144/370515 [=======================>......] - ETA: 7s - loss: 0.6199
302528/370515 [=======================>......] - ETA: 7s - loss: 0.6195
303008/370515 [=======================>......] - ETA: 7s - loss: 0.6190
303360/370515 [=======================>......] - ETA: 7s - loss: 0.6184
303744/370515 [=======================>......] - ETA: 7s - loss: 0.6177
304160/370515 [=======================>......] - ETA: 7s - loss: 0.6173
304736/370515 [=======================>......] - ETA: 7s - loss: 0.6165
305184/370515 [=======================>......] - ETA: 7s - loss: 0.6158
305536/370515 [=======================>......] - ETA: 7s - loss: 0.6153
306048/370515 [=======================>......] - ETA: 7s - loss: 0.6146
306624/370515 [=======================>......] - ETA: 7s - loss: 0.6137
307136/370515 [=======================>......] - ETA: 6s - loss: 0.6130
307424/370515 [=======================>......] - ETA: 6s - loss: 0.6126
307744/370515 [=======================>......] - ETA: 6s - loss: 0.6123
308064/370515 [=======================>......] - ETA: 6s - loss: 0.6122
308384/370515 [=======================>......] - ETA: 6s - loss: 0.6119
308704/370515 [=======================>......] - ETA: 6s - loss: 0.6116
308960/370515 [========================>.....] - ETA: 6s - loss: 0.6113
309280/370515 [========================>.....] - ETA: 6s - loss: 0.6110
309472/370515 [========================>.....] - ETA: 6s - loss: 0.6106
309728/370515 [========================>.....] - ETA: 6s - loss: 0.6102
309920/370515 [========================>.....] - ETA: 6s - loss: 0.6100
310144/370515 [========================>.....] - ETA: 6s - loss: 0.6097
310336/370515 [========================>.....] - ETA: 6s - loss: 0.6096
310528/370515 [========================>.....] - ETA: 6s - loss: 0.6095
310784/370515 [========================>.....] - ETA: 6s - loss: 0.6092
311072/370515 [========================>.....] - ETA: 6s - loss: 0.6088
311424/370515 [========================>.....] - ETA: 6s - loss: 0.6085
311776/370515 [========================>.....] - ETA: 6s - loss: 0.6080
312224/370515 [========================>.....] - ETA: 6s - loss: 0.6073
312672/370515 [========================>.....] - ETA: 6s - loss: 0.6066
313088/370515 [========================>.....] - ETA: 6s - loss: 0.6060
313536/370515 [========================>.....] - ETA: 6s - loss: 0.6054
313888/370515 [========================>.....] - ETA: 6s - loss: 0.6049
314336/370515 [========================>.....] - ETA: 6s - loss: 0.6043
314688/370515 [========================>.....] - ETA: 6s - loss: 0.6038
315008/370515 [========================>.....] - ETA: 6s - loss: 0.6034
315264/370515 [========================>.....] - ETA: 6s - loss: 0.6030
315648/370515 [========================>.....] - ETA: 6s - loss: 0.6025
315968/370515 [========================>.....] - ETA: 6s - loss: 0.6022
316320/370515 [========================>.....] - ETA: 6s - loss: 0.6019
316608/370515 [========================>.....] - ETA: 6s - loss: 0.6014
316800/370515 [========================>.....] - ETA: 6s - loss: 0.6010
317056/370515 [========================>.....] - ETA: 5s - loss: 0.6008
317344/370515 [========================>.....] - ETA: 5s - loss: 0.6002
317696/370515 [========================>.....] - ETA: 5s - loss: 0.5999
317920/370515 [========================>.....] - ETA: 5s - loss: 0.5996
318112/370515 [========================>.....] - ETA: 5s - loss: 0.5993
318432/370515 [========================>.....] - ETA: 5s - loss: 0.5988
318720/370515 [========================>.....] - ETA: 5s - loss: 0.5985
318976/370515 [========================>.....] - ETA: 5s - loss: 0.5981
319200/370515 [========================>.....] - ETA: 5s - loss: 0.5978
319392/370515 [========================>.....] - ETA: 5s - loss: 0.5975
319648/370515 [========================>.....] - ETA: 5s - loss: 0.5971
319872/370515 [========================>.....] - ETA: 5s - loss: 0.5969
320032/370515 [========================>.....] - ETA: 5s - loss: 0.5966
320224/370515 [========================>.....] - ETA: 5s - loss: 0.5964
320640/370515 [========================>.....] - ETA: 5s - loss: 0.5958
321088/370515 [========================>.....] - ETA: 5s - loss: 0.5951
321472/370515 [=========================>....] - ETA: 5s - loss: 0.5945
321984/370515 [=========================>....] - ETA: 5s - loss: 0.5936
322592/370515 [=========================>....] - ETA: 5s - loss: 0.5929
323136/370515 [=========================>....] - ETA: 5s - loss: 0.5924
323520/370515 [=========================>....] - ETA: 5s - loss: 0.5917
324064/370515 [=========================>....] - ETA: 5s - loss: 0.5911
324704/370515 [=========================>....] - ETA: 5s - loss: 0.5902
325344/370515 [=========================>....] - ETA: 5s - loss: 0.5892
325600/370515 [=========================>....] - ETA: 5s - loss: 0.5888
325984/370515 [=========================>....] - ETA: 5s - loss: 0.5884
326560/370515 [=========================>....] - ETA: 4s - loss: 0.5878
327072/370515 [=========================>....] - ETA: 4s - loss: 0.5872
327552/370515 [=========================>....] - ETA: 4s - loss: 0.5866
328128/370515 [=========================>....] - ETA: 4s - loss: 0.5859
328736/370515 [=========================>....] - ETA: 4s - loss: 0.5850
329248/370515 [=========================>....] - ETA: 4s - loss: 0.5843
329664/370515 [=========================>....] - ETA: 4s - loss: 0.5838
330208/370515 [=========================>....] - ETA: 4s - loss: 0.5832
330784/370515 [=========================>....] - ETA: 4s - loss: 0.5825
331232/370515 [=========================>....] - ETA: 4s - loss: 0.5818
331776/370515 [=========================>....] - ETA: 4s - loss: 0.5813
332320/370515 [=========================>....] - ETA: 4s - loss: 0.5807
332800/370515 [=========================>....] - ETA: 4s - loss: 0.5801
333408/370515 [=========================>....] - ETA: 4s - loss: 0.5794
333728/370515 [==========================>...] - ETA: 4s - loss: 0.5791
334144/370515 [==========================>...] - ETA: 4s - loss: 0.5786
334752/370515 [==========================>...] - ETA: 4s - loss: 0.5779
335360/370515 [==========================>...] - ETA: 3s - loss: 0.5771
335776/370515 [==========================>...] - ETA: 3s - loss: 0.5767
336320/370515 [==========================>...] - ETA: 3s - loss: 0.5761
336960/370515 [==========================>...] - ETA: 3s - loss: 0.5754
337568/370515 [==========================>...] - ETA: 3s - loss: 0.5746
338048/370515 [==========================>...] - ETA: 3s - loss: 0.5740
338496/370515 [==========================>...] - ETA: 3s - loss: 0.5734
339136/370515 [==========================>...] - ETA: 3s - loss: 0.5729
339648/370515 [==========================>...] - ETA: 3s - loss: 0.5723
340064/370515 [==========================>...] - ETA: 3s - loss: 0.5717
340512/370515 [==========================>...] - ETA: 3s - loss: 0.5712
341088/370515 [==========================>...] - ETA: 3s - loss: 0.5706
341632/370515 [==========================>...] - ETA: 3s - loss: 0.5700
342048/370515 [==========================>...] - ETA: 3s - loss: 0.5694
342496/370515 [==========================>...] - ETA: 3s - loss: 0.5687
343072/370515 [==========================>...] - ETA: 3s - loss: 0.5680
343680/370515 [==========================>...] - ETA: 3s - loss: 0.5673
344000/370515 [==========================>...] - ETA: 2s - loss: 0.5670
344384/370515 [==========================>...] - ETA: 2s - loss: 0.5666
344640/370515 [==========================>...] - ETA: 2s - loss: 0.5662
344896/370515 [==========================>...] - ETA: 2s - loss: 0.5660
345056/370515 [==========================>...] - ETA: 2s - loss: 0.5659
345184/370515 [==========================>...] - ETA: 2s - loss: 0.5658
345312/370515 [==========================>...] - ETA: 2s - loss: 0.5656
345536/370515 [==========================>...] - ETA: 2s - loss: 0.5654
345632/370515 [==========================>...] - ETA: 2s - loss: 0.5652
345824/370515 [===========================>..] - ETA: 2s - loss: 0.5651
346016/370515 [===========================>..] - ETA: 2s - loss: 0.5650
346208/370515 [===========================>..] - ETA: 2s - loss: 0.5647
346368/370515 [===========================>..] - ETA: 2s - loss: 0.5644
346560/370515 [===========================>..] - ETA: 2s - loss: 0.5643
346720/370515 [===========================>..] - ETA: 2s - loss: 0.5640
346944/370515 [===========================>..] - ETA: 2s - loss: 0.5638
347104/370515 [===========================>..] - ETA: 2s - loss: 0.5636
347232/370515 [===========================>..] - ETA: 2s - loss: 0.5634
347456/370515 [===========================>..] - ETA: 2s - loss: 0.5631
347584/370515 [===========================>..] - ETA: 2s - loss: 0.5630
347680/370515 [===========================>..] - ETA: 2s - loss: 0.5629
347872/370515 [===========================>..] - ETA: 2s - loss: 0.5627
348064/370515 [===========================>..] - ETA: 2s - loss: 0.5624
348160/370515 [===========================>..] - ETA: 2s - loss: 0.5622
348320/370515 [===========================>..] - ETA: 2s - loss: 0.5620
348416/370515 [===========================>..] - ETA: 2s - loss: 0.5620
348576/370515 [===========================>..] - ETA: 2s - loss: 0.5619
348672/370515 [===========================>..] - ETA: 2s - loss: 0.5618
348768/370515 [===========================>..] - ETA: 2s - loss: 0.5616
348928/370515 [===========================>..] - ETA: 2s - loss: 0.5616
349088/370515 [===========================>..] - ETA: 2s - loss: 0.5614
349280/370515 [===========================>..] - ETA: 2s - loss: 0.5613
349440/370515 [===========================>..] - ETA: 2s - loss: 0.5612
349536/370515 [===========================>..] - ETA: 2s - loss: 0.5612
349696/370515 [===========================>..] - ETA: 2s - loss: 0.5610
349920/370515 [===========================>..] - ETA: 2s - loss: 0.5606
349984/370515 [===========================>..] - ETA: 2s - loss: 0.5605
350080/370515 [===========================>..] - ETA: 2s - loss: 0.5605
350176/370515 [===========================>..] - ETA: 2s - loss: 0.5605
350304/370515 [===========================>..] - ETA: 2s - loss: 0.5604
350464/370515 [===========================>..] - ETA: 2s - loss: 0.5603
350592/370515 [===========================>..] - ETA: 2s - loss: 0.5601
350816/370515 [===========================>..] - ETA: 2s - loss: 0.5600
350944/370515 [===========================>..] - ETA: 2s - loss: 0.5599
351200/370515 [===========================>..] - ETA: 2s - loss: 0.5595
351392/370515 [===========================>..] - ETA: 2s - loss: 0.5593
351424/370515 [===========================>..] - ETA: 2s - loss: 0.5592
351584/370515 [===========================>..] - ETA: 2s - loss: 0.5592
351680/370515 [===========================>..] - ETA: 2s - loss: 0.5591
351840/370515 [===========================>..] - ETA: 2s - loss: 0.5590
351968/370515 [===========================>..] - ETA: 2s - loss: 0.5588
352128/370515 [===========================>..] - ETA: 2s - loss: 0.5586
352288/370515 [===========================>..] - ETA: 2s - loss: 0.5584
352544/370515 [===========================>..] - ETA: 2s - loss: 0.5582
352832/370515 [===========================>..] - ETA: 2s - loss: 0.5579
353120/370515 [===========================>..] - ETA: 2s - loss: 0.5576
353408/370515 [===========================>..] - ETA: 2s - loss: 0.5573
353632/370515 [===========================>..] - ETA: 2s - loss: 0.5571
353792/370515 [===========================>..] - ETA: 1s - loss: 0.5570
353952/370515 [===========================>..] - ETA: 1s - loss: 0.5568
354112/370515 [===========================>..] - ETA: 1s - loss: 0.5565
354272/370515 [===========================>..] - ETA: 1s - loss: 0.5563
354528/370515 [===========================>..] - ETA: 1s - loss: 0.5560
354720/370515 [===========================>..] - ETA: 1s - loss: 0.5558
354880/370515 [===========================>..] - ETA: 1s - loss: 0.5558
355072/370515 [===========================>..] - ETA: 1s - loss: 0.5555
355392/370515 [===========================>..] - ETA: 1s - loss: 0.5552
355680/370515 [===========================>..] - ETA: 1s - loss: 0.5549
355968/370515 [===========================>..] - ETA: 1s - loss: 0.5547
356160/370515 [===========================>..] - ETA: 1s - loss: 0.5544
356352/370515 [===========================>..] - ETA: 1s - loss: 0.5543
356640/370515 [===========================>..] - ETA: 1s - loss: 0.5540
356864/370515 [===========================>..] - ETA: 1s - loss: 0.5537
357120/370515 [===========================>..] - ETA: 1s - loss: 0.5533
357376/370515 [===========================>..] - ETA: 1s - loss: 0.5530
357632/370515 [===========================>..] - ETA: 1s - loss: 0.5526
357824/370515 [===========================>..] - ETA: 1s - loss: 0.5524
358080/370515 [===========================>..] - ETA: 1s - loss: 0.5521
358336/370515 [============================>.] - ETA: 1s - loss: 0.5518
358720/370515 [============================>.] - ETA: 1s - loss: 0.5514
358976/370515 [============================>.] - ETA: 1s - loss: 0.5511
359328/370515 [============================>.] - ETA: 1s - loss: 0.5508
359584/370515 [============================>.] - ETA: 1s - loss: 0.5505
359904/370515 [============================>.] - ETA: 1s - loss: 0.5504
360128/370515 [============================>.] - ETA: 1s - loss: 0.5503
360448/370515 [============================>.] - ETA: 1s - loss: 0.5500
360896/370515 [============================>.] - ETA: 1s - loss: 0.5497
361344/370515 [============================>.] - ETA: 1s - loss: 0.5491
361536/370515 [============================>.] - ETA: 1s - loss: 0.5489
361696/370515 [============================>.] - ETA: 1s - loss: 0.5487
361824/370515 [============================>.] - ETA: 1s - loss: 0.5486
362112/370515 [============================>.] - ETA: 1s - loss: 0.5484
362272/370515 [============================>.] - ETA: 0s - loss: 0.5482
362432/370515 [============================>.] - ETA: 0s - loss: 0.5481
362624/370515 [============================>.] - ETA: 0s - loss: 0.5480
362784/370515 [============================>.] - ETA: 0s - loss: 0.5478
362976/370515 [============================>.] - ETA: 0s - loss: 0.5475
363328/370515 [============================>.] - ETA: 0s - loss: 0.5472
363680/370515 [============================>.] - ETA: 0s - loss: 0.5469
363968/370515 [============================>.] - ETA: 0s - loss: 0.5465
364160/370515 [============================>.] - ETA: 0s - loss: 0.5463
364352/370515 [============================>.] - ETA: 0s - loss: 0.5461
364672/370515 [============================>.] - ETA: 0s - loss: 0.5457
364992/370515 [============================>.] - ETA: 0s - loss: 0.5455
365184/370515 [============================>.] - ETA: 0s - loss: 0.5454
365408/370515 [============================>.] - ETA: 0s - loss: 0.5451
365632/370515 [============================>.] - ETA: 0s - loss: 0.5451
365856/370515 [============================>.] - ETA: 0s - loss: 0.5449
366112/370515 [============================>.] - ETA: 0s - loss: 0.5446
366304/370515 [============================>.] - ETA: 0s - loss: 0.5445
366784/370515 [============================>.] - ETA: 0s - loss: 0.5442
367360/370515 [============================>.] - ETA: 0s - loss: 0.5435
367744/370515 [============================>.] - ETA: 0s - loss: 0.5432
368000/370515 [============================>.] - ETA: 0s - loss: 0.5428
368320/370515 [============================>.] - ETA: 0s - loss: 0.5426
368576/370515 [============================>.] - ETA: 0s - loss: 0.5424
368768/370515 [============================>.] - ETA: 0s - loss: 0.5422
368992/370515 [============================>.] - ETA: 0s - loss: 0.5419
369152/370515 [============================>.] - ETA: 0s - loss: 0.5419
369536/370515 [============================>.] - ETA: 0s - loss: 0.5414
369792/370515 [============================>.] - ETA: 0s - loss: 0.5410
370112/370515 [============================>.] - ETA: 0s - loss: 0.5407
370464/370515 [============================>.] - ETA: 0s - loss: 0.5404
370515/370515 [==============================] - 52s 139us/step - loss: 0.5403 - val_loss: 0.1734
Final accuracy: 0.9888102602302722
