Train on 370515 samples, validate on 123506 samples
Epoch 1/1
 49696/370515 [===>..........................] - ETA: 47s - loss: 2.5513
 50176/370515 [===>..........................] - ETA: 47s - loss: 2.5289
 50624/370515 [===>..........................] - ETA: 47s - loss: 2.5074
 50848/370515 [===>..........................] - ETA: 47s - loss: 2.4980
 51296/370515 [===>..........................] - ETA: 46s - loss: 2.4777
 51808/370515 [===>..........................] - ETA: 46s - loss: 2.4557
 52416/370515 [===>..........................] - ETA: 46s - loss: 2.4294
 52768/370515 [===>..........................] - ETA: 46s - loss: 2.4131
 53216/370515 [===>..........................] - ETA: 46s - loss: 2.3956
 53824/370515 [===>..........................] - ETA: 45s - loss: 2.3706
 54304/370515 [===>..........................] - ETA: 45s - loss: 2.3518
 54688/370515 [===>..........................] - ETA: 45s - loss: 2.3367
 55200/370515 [===>..........................] - ETA: 45s - loss: 2.3176
 55744/370515 [===>..........................] - ETA: 45s - loss: 2.2962
 56256/370515 [===>..........................] - ETA: 45s - loss: 2.2767
 56544/370515 [===>..........................] - ETA: 45s - loss: 2.2663
 56992/370515 [===>..........................] - ETA: 44s - loss: 2.2507
 57536/370515 [===>..........................] - ETA: 44s - loss: 2.2314
 58016/370515 [===>..........................] - ETA: 44s - loss: 2.2155
 58368/370515 [===>..........................] - ETA: 44s - loss: 2.2044
 58848/370515 [===>..........................] - ETA: 44s - loss: 2.1875
 59360/370515 [===>..........................] - ETA: 44s - loss: 2.1706
 59808/370515 [===>..........................] - ETA: 44s - loss: 2.1566
 60128/370515 [===>..........................] - ETA: 44s - loss: 2.1467
 60544/370515 [===>..........................] - ETA: 44s - loss: 2.1333
 61024/370515 [===>..........................] - ETA: 43s - loss: 2.1183
 61440/370515 [===>..........................] - ETA: 43s - loss: 2.1063
 61728/370515 [===>..........................] - ETA: 43s - loss: 2.0975
 62208/370515 [====>.........................] - ETA: 43s - loss: 2.0834
 62720/370515 [====>.........................] - ETA: 43s - loss: 2.0687
 63328/370515 [====>.........................] - ETA: 43s - loss: 2.0519
 63808/370515 [====>.........................] - ETA: 43s - loss: 2.0382
 64384/370515 [====>.........................] - ETA: 42s - loss: 2.0218
 64992/370515 [====>.........................] - ETA: 42s - loss: 2.0058
 65632/370515 [====>.........................] - ETA: 42s - loss: 1.9902
 65952/370515 [====>.........................] - ETA: 42s - loss: 1.9818
 66464/370515 [====>.........................] - ETA: 42s - loss: 1.9689
 67072/370515 [====>.........................] - ETA: 41s - loss: 1.9545
 67616/370515 [====>.........................] - ETA: 41s - loss: 1.9409
 68000/370515 [====>.........................] - ETA: 41s - loss: 1.9325
 68608/370515 [====>.........................] - ETA: 41s - loss: 1.9178
 69152/370515 [====>.........................] - ETA: 41s - loss: 1.9046
 69760/370515 [====>.........................] - ETA: 41s - loss: 1.8901
 70176/370515 [====>.........................] - ETA: 41s - loss: 1.8808
 70784/370515 [====>.........................] - ETA: 40s - loss: 1.8662
 71296/370515 [====>.........................] - ETA: 40s - loss: 1.8538
 71904/370515 [====>.........................] - ETA: 40s - loss: 1.8395
 72320/370515 [====>.........................] - ETA: 40s - loss: 1.8312
 72832/370515 [====>.........................] - ETA: 40s - loss: 1.8206
 73408/370515 [====>.........................] - ETA: 40s - loss: 1.8076
